text,sentiment
bagai pisau mata guna difikirikan matang makan mentah mentah output chatgpt hasil generasi kritis cari solusi mandiri guna sumber referensi jadi teman diskusi chatgpt sangat bantu beri sudut pandang insight baru,negatif
baik,negatif
chatgpt sangat bantu ajar baik sisi dosen maupun mahasiswa ada chatgpt paham cair satu topik mulai topik mudah hingga sulit jadi lebih mudah guna serta etika guna chatgpt utama sisi mahasiswa kurang gantung chatgpt budaya contek kalang mahasiswa mahasiswa paham chatgpt referensi tambah bukan alat cari jawab instan,negatif
perlu batas guna chatgpt didik baik dosen mahasiswa utama kait etika plagiarisme,negatif
guna chatgpt didik bawa pengaruh positif negatif gantung pribadi mhs lihat mhs generasi banyak yg guna chatgpt tugas kasus ajar mhs malas kembang guna chatgpt batas ajar bawa pengaruh positif aktif kembang materi ilmu cepat tetap dasar sumber yg,negatif
chatgpt jadi sarana cari jelas tambah jadi alternarif tambah paham topik,negatif
apaapa partner diskusi bukan kerja tugas mahasiswa guna bijak sana tambah paham bukan serah kerja tugas chatgpt salah sudut pandang guna akibat skill hard soft bentuk,negatif
guna chat gpt didik sangat bantu paham kait topik sulit paham ada chatgpt beri pengaruh negatif orang orang andal ai ajar tingkat daya berfikir ada ai makin pasif terap ai seluruh aspek baik didik kerja ada batas pakai ai,negatif
sangat bantu utama susah cari referensi,negatif
sangat bantu proses brainstorming ide cepat proses oleh informasi,negatif
sangat bantu,negatif
