text,sentiment
"""tidak""",negatif
"""mengurangi penggunaan chat gpt karena dapat membuat mahasiswa ingin mendapatkan jawaban instan dari gpt """,negatif
"""Penggunaan chatGPT dalam pendidikan memiliki potensi yang besar untuk memperkaya pembelajaran ,tetapi juga butuh penerapan yang yang bijak""",negatif
"""Untuk lendapat mungkin tidak ada, tetapi untuk saran semoga chatGPT bisa diakses gratis sepuasnya tanpa harus premium :)""",negatif
"""menggunakan chatgpt membuat kita terbantu dalam proses belajar karena chatgpt menyediakan informasi yang sangat luas, namun kita tidak boleh terus menerus bergantung pada chatgpt karena hal itu dapat mengurangi kinerja otak serta meningkatkan budaya plagiarisme.""",negatif
"""Trial aja 5 bulan mungkin atau kasih diskon 90% untuk mahasiswa, mantap jg tu""",negatif
"""Saya sebagai pengguna chatGPT dalam perkuliahan sebenarnya merasa sangat terbantu sekali tapi lama kelamaan perasaan untuk membaca dan juga mencari sumber yang terpercaya dan rinci mulai memudar sehingga menjadi kelemahan untuk kedepannya yaitu menjadi MALAS. terimakasih""",negatif
"""Tidak ada saran sih """,negatif
"""Penggunaan ChatGPT lebih baik digunakan untuk mencari referensi sebagai pemecah masalah atau untuk mengembangkan ide saja. Jangan gunakan ChatGPT untuk dijiplak mentah-mentah sebagai jawaban dsri suatu masalah.""",negatif
"""jika menggunakan chatgpt sebaiknya dibaca terlebih dahulu, jangan hanya menyalin saja""",negatif
"""-""",negatif
"""Tolong lah lebih bener jawabannya jangan ngaco kalo menjawab soal 😩😭😭""",negatif
"""Menurut saya penggunaan ChatGPT itu sangat membantu, tetapi dampak negatifnya adalah ketergantungan individual pada ChatGPT itu sendiri . mohon maaf jika ada salah kata abang abang, semangat buat abang abang dan kakak kakak buat PA nya ",negatif
"""gunakanlah ChatGPT dengan bijak""",negatif
"""Bisa voice note""",negatif
